C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_018.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_018.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_018.jpg, 0, 0, 0, 7.98955E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_121.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_121.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_121.jpg, 0, 0, 0, 8.247279E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_221.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_221.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_221.jpg, 0, 0, 0, 7.902525E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_322.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_322.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_322.jpg, 0, 0, 0, 7.839163E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_424.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_424.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_424.jpg, 0, 0, 0, 7.841746E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_526.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_526.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_526.jpg, 0, 0, 0, 7.891489E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_628.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_628.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_628.jpg, 0, 0, 0, 7.869781E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_728.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_728.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_728.jpg, 0, 0, 0, 7.791785E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_829.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_829.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_829.jpg, 0, 0, 0, 7.793857E-05
C:\Users\Akhil\Downloads\simulator-windows-64\IMG\center_2022_12_23_13_04_28_931.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\left_2022_12_23_13_04_28_931.jpg, C:\Users\Akhil\Downloads\simulator-windows-64\IMG\right_2022_12_23_13_04_28_931.jpg, 0, 0, 0, 7.87692E-05
